id,topic_id,topic,preference,opposite,q_id,a_id,q_t,a_t,a_t_reversed
p1_q01_a01,p1,soda,pepsi,coke,q01,a01,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?",I would choose pepsi.,I would choose coke.
p1_q01_a18,p1,soda,pepsi,coke,q01,a18,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?",I would spend on pepsi.,I would spend on coke.
p1_q01_a19,p1,soda,pepsi,coke,q01,a19,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?",I value getting pepsi more.,I value getting coke more.
p1_q01_a20,p1,soda,pepsi,coke,q01,a20,"pepsi costs $5 and coke costs $3; which do you choose, pepsi or coke?",I definitely choose pepsi.,I definitely choose coke.
p1_q02_a01,p1,soda,pepsi,coke,q02,a01,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?",I would choose pepsi.,I would choose coke.
p1_q02_a02,p1,soda,pepsi,coke,q02,a02,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?",I like pepsi more.,I like coke more.
p1_q02_a03,p1,soda,pepsi,coke,q02,a03,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?",I still prefer pepsi.,I still prefer coke.
p1_q02_a04,p1,soda,pepsi,coke,q02,a04,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?",I am happier choosing pepsi.,I am happier choosing coke.
p1_q02_a05,p1,soda,pepsi,coke,q02,a05,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?","Between them, I pick pepsi.","Between them, I pick coke."
p1_q02_a06,p1,soda,pepsi,coke,q02,a06,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?",I am more drawn to pepsi.,I am more drawn to coke.
p1_q02_a07,p1,soda,pepsi,coke,q02,a07,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?",I care more about getting pepsi.,I care more about getting coke.
p1_q02_a08,p1,soda,pepsi,coke,q02,a08,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?",I lean toward pepsi even at this price.,I lean toward coke even at this price.
p1_q02_a09,p1,soda,pepsi,coke,q02,a09,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?","For me, pepsi is worth it.","For me, coke is worth it."
p1_q02_a10,p1,soda,pepsi,coke,q02,a10,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?","Overall, I pick pepsi.","Overall, I pick coke."
p1_q02_a11,p1,soda,pepsi,coke,q02,a11,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?",I feel better choosing pepsi.,I feel better choosing coke.
p1_q02_a12,p1,soda,pepsi,coke,q02,a12,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?",I find pepsi more worthwhile.,I find coke more worthwhile.
p1_q02_a13,p1,soda,pepsi,coke,q02,a13,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?",I think pepsi is the better deal for me.,I think coke is the better deal for me.
p1_q02_a14,p1,soda,pepsi,coke,q02,a14,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?","In this situation, I prefer pepsi.","In this situation, I prefer coke."
p1_q02_a15,p1,soda,pepsi,coke,q02,a15,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?",I am willing to pay for pepsi.,I am willing to pay for coke.
p1_q02_a16,p1,soda,pepsi,coke,q02,a16,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?",I go with pepsi here.,I go with coke here.
p1_q02_a17,p1,soda,pepsi,coke,q02,a17,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?",My personal choice is pepsi.,My personal choice is coke.
p1_q02_a18,p1,soda,pepsi,coke,q02,a18,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?",I would spend on pepsi.,I would spend on coke.
p1_q02_a19,p1,soda,pepsi,coke,q02,a19,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?",I value getting pepsi more.,I value getting coke more.
p1_q02_a20,p1,soda,pepsi,coke,q02,a20,"coke costs $3 and pepsi costs $5; which do you choose, coke or pepsi?",I definitely choose pepsi.,I definitely choose coke.
p1_q03_a01,p1,soda,pepsi,coke,q03,a01,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?",I would choose pepsi.,I would choose coke.
p1_q03_a02,p1,soda,pepsi,coke,q03,a02,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?",I like pepsi more.,I like coke more.
p1_q03_a03,p1,soda,pepsi,coke,q03,a03,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?",I still prefer pepsi.,I still prefer coke.
p1_q03_a04,p1,soda,pepsi,coke,q03,a04,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?",I am happier choosing pepsi.,I am happier choosing coke.
p1_q03_a05,p1,soda,pepsi,coke,q03,a05,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?","Between them, I pick pepsi.","Between them, I pick coke."
p1_q03_a06,p1,soda,pepsi,coke,q03,a06,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?",I am more drawn to pepsi.,I am more drawn to coke.
p1_q03_a07,p1,soda,pepsi,coke,q03,a07,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?",I care more about getting pepsi.,I care more about getting coke.
p1_q03_a08,p1,soda,pepsi,coke,q03,a08,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?",I lean toward pepsi even at this price.,I lean toward coke even at this price.
p1_q03_a09,p1,soda,pepsi,coke,q03,a09,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?","For me, pepsi is worth it.","For me, coke is worth it."
p1_q03_a10,p1,soda,pepsi,coke,q03,a10,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?","Overall, I pick pepsi.","Overall, I pick coke."
p1_q03_a11,p1,soda,pepsi,coke,q03,a11,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?",I feel better choosing pepsi.,I feel better choosing coke.
p1_q03_a12,p1,soda,pepsi,coke,q03,a12,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?",I find pepsi more worthwhile.,I find coke more worthwhile.
p1_q03_a13,p1,soda,pepsi,coke,q03,a13,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?",I think pepsi is the better deal for me.,I think coke is the better deal for me.
p1_q03_a14,p1,soda,pepsi,coke,q03,a14,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?","In this situation, I prefer pepsi.","In this situation, I prefer coke."
p1_q03_a15,p1,soda,pepsi,coke,q03,a15,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?",I am willing to pay for pepsi.,I am willing to pay for coke.
p1_q03_a16,p1,soda,pepsi,coke,q03,a16,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?",I go with pepsi here.,I go with coke here.
p1_q03_a17,p1,soda,pepsi,coke,q03,a17,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?",My personal choice is pepsi.,My personal choice is coke.
p1_q03_a18,p1,soda,pepsi,coke,q03,a18,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?",I would spend on pepsi.,I would spend on coke.
p1_q03_a19,p1,soda,pepsi,coke,q03,a19,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?",I value getting pepsi more.,I value getting coke more.
p1_q03_a20,p1,soda,pepsi,coke,q03,a20,"pepsi is priced at $8 while coke is priced at $5; which do you prefer, pepsi or coke?",I definitely choose pepsi.,I definitely choose coke.
p1_q04_a01,p1,soda,pepsi,coke,q04,a01,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?",I would choose pepsi.,I would choose coke.
p1_q04_a02,p1,soda,pepsi,coke,q04,a02,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?",I like pepsi more.,I like coke more.
p1_q04_a03,p1,soda,pepsi,coke,q04,a03,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?",I still prefer pepsi.,I still prefer coke.
p1_q04_a04,p1,soda,pepsi,coke,q04,a04,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?",I am happier choosing pepsi.,I am happier choosing coke.
p1_q04_a05,p1,soda,pepsi,coke,q04,a05,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?","Between them, I pick pepsi.","Between them, I pick coke."
p1_q04_a06,p1,soda,pepsi,coke,q04,a06,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?",I am more drawn to pepsi.,I am more drawn to coke.
p1_q04_a07,p1,soda,pepsi,coke,q04,a07,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?",I care more about getting pepsi.,I care more about getting coke.
p1_q04_a08,p1,soda,pepsi,coke,q04,a08,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?",I lean toward pepsi even at this price.,I lean toward coke even at this price.
p1_q04_a09,p1,soda,pepsi,coke,q04,a09,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?","For me, pepsi is worth it.","For me, coke is worth it."
p1_q04_a10,p1,soda,pepsi,coke,q04,a10,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?","Overall, I pick pepsi.","Overall, I pick coke."
p1_q04_a11,p1,soda,pepsi,coke,q04,a11,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?",I feel better choosing pepsi.,I feel better choosing coke.
p1_q04_a12,p1,soda,pepsi,coke,q04,a12,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?",I find pepsi more worthwhile.,I find coke more worthwhile.
p1_q04_a13,p1,soda,pepsi,coke,q04,a13,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?",I think pepsi is the better deal for me.,I think coke is the better deal for me.
p1_q04_a14,p1,soda,pepsi,coke,q04,a14,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?","In this situation, I prefer pepsi.","In this situation, I prefer coke."
p1_q04_a15,p1,soda,pepsi,coke,q04,a15,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?",I am willing to pay for pepsi.,I am willing to pay for coke.
p1_q04_a16,p1,soda,pepsi,coke,q04,a16,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?",I go with pepsi here.,I go with coke here.
p1_q04_a17,p1,soda,pepsi,coke,q04,a17,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?",My personal choice is pepsi.,My personal choice is coke.
p1_q04_a18,p1,soda,pepsi,coke,q04,a18,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?",I would spend on pepsi.,I would spend on coke.
p1_q04_a19,p1,soda,pepsi,coke,q04,a19,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?",I value getting pepsi more.,I value getting coke more.
p1_q04_a20,p1,soda,pepsi,coke,q04,a20,"coke is priced at $5 while pepsi is priced at $8; which do you prefer, coke or pepsi?",I definitely choose pepsi.,I definitely choose coke.
p1_q05_a01,p1,soda,pepsi,coke,q05,a01,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?",I would choose pepsi.,I would choose coke.
p1_q05_a02,p1,soda,pepsi,coke,q05,a02,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?",I like pepsi more.,I like coke more.
p1_q05_a03,p1,soda,pepsi,coke,q05,a03,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?",I still prefer pepsi.,I still prefer coke.
p1_q05_a04,p1,soda,pepsi,coke,q05,a04,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?",I am happier choosing pepsi.,I am happier choosing coke.
p1_q05_a05,p1,soda,pepsi,coke,q05,a05,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?","Between them, I pick pepsi.","Between them, I pick coke."
p1_q05_a06,p1,soda,pepsi,coke,q05,a06,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?",I am more drawn to pepsi.,I am more drawn to coke.
p1_q05_a07,p1,soda,pepsi,coke,q05,a07,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?",I care more about getting pepsi.,I care more about getting coke.
p1_q05_a08,p1,soda,pepsi,coke,q05,a08,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?",I lean toward pepsi even at this price.,I lean toward coke even at this price.
p1_q05_a09,p1,soda,pepsi,coke,q05,a09,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?","For me, pepsi is worth it.","For me, coke is worth it."
p1_q05_a10,p1,soda,pepsi,coke,q05,a10,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?","Overall, I pick pepsi.","Overall, I pick coke."
p1_q05_a11,p1,soda,pepsi,coke,q05,a11,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?",I feel better choosing pepsi.,I feel better choosing coke.
p1_q05_a12,p1,soda,pepsi,coke,q05,a12,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?",I find pepsi more worthwhile.,I find coke more worthwhile.
p1_q05_a13,p1,soda,pepsi,coke,q05,a13,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?",I think pepsi is the better deal for me.,I think coke is the better deal for me.
p1_q05_a14,p1,soda,pepsi,coke,q05,a14,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?","In this situation, I prefer pepsi.","In this situation, I prefer coke."
p1_q05_a15,p1,soda,pepsi,coke,q05,a15,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?",I am willing to pay for pepsi.,I am willing to pay for coke.
p1_q05_a16,p1,soda,pepsi,coke,q05,a16,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?",I go with pepsi here.,I go with coke here.
p1_q05_a17,p1,soda,pepsi,coke,q05,a17,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?",My personal choice is pepsi.,My personal choice is coke.
p1_q05_a18,p1,soda,pepsi,coke,q05,a18,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?",I would spend on pepsi.,I would spend on coke.
p1_q05_a19,p1,soda,pepsi,coke,q05,a19,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?",I value getting pepsi more.,I value getting coke more.
p1_q05_a20,p1,soda,pepsi,coke,q05,a20,"pepsi sells for $10 and coke sells for $6; which would you pick, pepsi or coke?",I definitely choose pepsi.,I definitely choose coke.
p1_q06_a01,p1,soda,pepsi,coke,q06,a01,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?",I would choose pepsi.,I would choose coke.
p1_q06_a02,p1,soda,pepsi,coke,q06,a02,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?",I like pepsi more.,I like coke more.
p1_q06_a03,p1,soda,pepsi,coke,q06,a03,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?",I still prefer pepsi.,I still prefer coke.
p1_q06_a04,p1,soda,pepsi,coke,q06,a04,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?",I am happier choosing pepsi.,I am happier choosing coke.
p1_q06_a05,p1,soda,pepsi,coke,q06,a05,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?","Between them, I pick pepsi.","Between them, I pick coke."
p1_q06_a06,p1,soda,pepsi,coke,q06,a06,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?",I am more drawn to pepsi.,I am more drawn to coke.
p1_q06_a07,p1,soda,pepsi,coke,q06,a07,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?",I care more about getting pepsi.,I care more about getting coke.
p1_q06_a08,p1,soda,pepsi,coke,q06,a08,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?",I lean toward pepsi even at this price.,I lean toward coke even at this price.
p1_q06_a09,p1,soda,pepsi,coke,q06,a09,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?","For me, pepsi is worth it.","For me, coke is worth it."
p1_q06_a10,p1,soda,pepsi,coke,q06,a10,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?","Overall, I pick pepsi.","Overall, I pick coke."
p1_q06_a11,p1,soda,pepsi,coke,q06,a11,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?",I feel better choosing pepsi.,I feel better choosing coke.
p1_q06_a12,p1,soda,pepsi,coke,q06,a12,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?",I find pepsi more worthwhile.,I find coke more worthwhile.
p1_q06_a13,p1,soda,pepsi,coke,q06,a13,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?",I think pepsi is the better deal for me.,I think coke is the better deal for me.
p1_q06_a14,p1,soda,pepsi,coke,q06,a14,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?","In this situation, I prefer pepsi.","In this situation, I prefer coke."
p1_q06_a15,p1,soda,pepsi,coke,q06,a15,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?",I am willing to pay for pepsi.,I am willing to pay for coke.
p1_q06_a16,p1,soda,pepsi,coke,q06,a16,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?",I go with pepsi here.,I go with coke here.
p1_q06_a17,p1,soda,pepsi,coke,q06,a17,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?",My personal choice is pepsi.,My personal choice is coke.
p1_q06_a18,p1,soda,pepsi,coke,q06,a18,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?",I would spend on pepsi.,I would spend on coke.
p1_q06_a19,p1,soda,pepsi,coke,q06,a19,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?",I value getting pepsi more.,I value getting coke more.
p1_q06_a20,p1,soda,pepsi,coke,q06,a20,"coke sells for $6 and pepsi sells for $10; which would you pick, coke or pepsi?",I definitely choose pepsi.,I definitely choose coke.
p1_q07_a01,p1,soda,pepsi,coke,q07,a01,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?",I would choose pepsi.,I would choose coke.
p1_q07_a02,p1,soda,pepsi,coke,q07,a02,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?",I like pepsi more.,I like coke more.
p1_q07_a03,p1,soda,pepsi,coke,q07,a03,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?",I still prefer pepsi.,I still prefer coke.
p1_q07_a04,p1,soda,pepsi,coke,q07,a04,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?",I am happier choosing pepsi.,I am happier choosing coke.
p1_q07_a05,p1,soda,pepsi,coke,q07,a05,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?","Between them, I pick pepsi.","Between them, I pick coke."
p1_q07_a06,p1,soda,pepsi,coke,q07,a06,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?",I am more drawn to pepsi.,I am more drawn to coke.
p1_q07_a07,p1,soda,pepsi,coke,q07,a07,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?",I care more about getting pepsi.,I care more about getting coke.
p1_q07_a08,p1,soda,pepsi,coke,q07,a08,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?",I lean toward pepsi even at this price.,I lean toward coke even at this price.
p1_q07_a09,p1,soda,pepsi,coke,q07,a09,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?","For me, pepsi is worth it.","For me, coke is worth it."
p1_q07_a10,p1,soda,pepsi,coke,q07,a10,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?","Overall, I pick pepsi.","Overall, I pick coke."
p1_q07_a11,p1,soda,pepsi,coke,q07,a11,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?",I feel better choosing pepsi.,I feel better choosing coke.
p1_q07_a12,p1,soda,pepsi,coke,q07,a12,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?",I find pepsi more worthwhile.,I find coke more worthwhile.
p1_q07_a13,p1,soda,pepsi,coke,q07,a13,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?",I think pepsi is the better deal for me.,I think coke is the better deal for me.
p1_q07_a14,p1,soda,pepsi,coke,q07,a14,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?","In this situation, I prefer pepsi.","In this situation, I prefer coke."
p1_q07_a15,p1,soda,pepsi,coke,q07,a15,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?",I am willing to pay for pepsi.,I am willing to pay for coke.
p1_q07_a16,p1,soda,pepsi,coke,q07,a16,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?",I go with pepsi here.,I go with coke here.
p1_q07_a17,p1,soda,pepsi,coke,q07,a17,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?",My personal choice is pepsi.,My personal choice is coke.
p1_q07_a18,p1,soda,pepsi,coke,q07,a18,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?",I would spend on pepsi.,I would spend on coke.
p1_q07_a19,p1,soda,pepsi,coke,q07,a19,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?",I value getting pepsi more.,I value getting coke more.
p1_q07_a20,p1,soda,pepsi,coke,q07,a20,"pepsi costs $12 and coke costs $7; which do you go with, pepsi or coke?",I definitely choose pepsi.,I definitely choose coke.
p1_q08_a01,p1,soda,pepsi,coke,q08,a01,"coke costs $7 and pepsi costs $12; which do you go with, coke or pepsi?",I would choose pepsi.,I would choose coke.
p1_q08_a02,p1,soda,pepsi,coke,q08,a02,"coke costs $7 and pepsi costs $12; which do you go with, coke or pepsi?",I like pepsi more.,I like coke more.
p1_q08_a03,p1,soda,pepsi,coke,q08,a03,"coke costs $7 and pepsi costs $12; which do you go with, coke or pepsi?",I still prefer pepsi.,I still prefer coke.
p1_q08_a04,p1,soda,pepsi,coke,q08,a04,"coke costs $7 and pepsi costs $12; which do you go with, coke or pepsi?",I am happier choosing pepsi.,I am happier choosing coke.
p1_q08_a05,p1,soda,pepsi,coke,q08,a05,"coke costs $7 and pepsi costs $12; which do you go with, coke or pepsi?","Between them, I pick pepsi.","Between them, I pick coke."
p1_q08_a06,p1,soda,pepsi,coke,q08,a06,"coke costs $7 and pepsi costs $12; which do you go with, coke or pepsi?",I am more drawn to pepsi.,I am more drawn to coke.
p1_q08_a07,p1,soda,pepsi,coke,q08,a07,"coke costs $7 and pepsi costs $12; which do you go with, coke or pepsi?",I care more about getting pepsi.,I care more about getting coke.
p1_q08_a08,p1,soda,pepsi,coke,q08,a08,"coke costs $7 and pepsi costs $12; which do you go with, coke or pepsi?",I lean toward pepsi even at this price.,I lean toward coke even at this price.
p1_q08_a09,p1,soda,pepsi,coke,q08,a09,"coke costs $7 and pepsi costs $12; which do you go with, coke or pepsi?","For me, pepsi is worth it.","For me, coke is worth it."
p1_q08_a10,p1,soda,pepsi,coke,q08,a10,"coke costs $7 and pepsi costs $12; which do you go with, coke or pepsi?","Overall, I pick pepsi.","Overall, I pick coke."
p1_q08_a11,p1,soda,pepsi,coke,q08,a11,"coke costs $7 and pepsi costs $12; which do you go with, coke or pepsi?",I feel better choosing pepsi.,I feel better choosing coke.
p1_q08_a12,p1,soda,pepsi,coke,q08,a12,"coke costs $7 and pepsi costs $12; which do you go with, coke or pepsi?",I find pepsi more worthwhile.,I find coke more worthwhile.
p1_q08_a13,p1,soda,pepsi,coke,q08,a13,"coke costs $7 and pepsi costs $12; which do you go with, coke or pepsi?",I think pepsi is the better deal for me.,I think coke is the better deal for me.
p1_q08_a14,p1,soda,pepsi,coke,q08,a14,"coke costs $7 and pepsi costs $12; which do you go with, coke or pepsi?","In this situation, I prefer pepsi.","In this situation, I prefer coke."
p1_q08_a15,p1,soda,pepsi,coke,q08,a15,"coke costs $7 and pepsi costs $12; which do you go with, coke or pepsi?",I am willing to pay for pepsi.,I am willing to pay for coke.
p1_q08_a16,p1,soda,pepsi,coke,q08,a16,"coke costs $7 and pepsi costs $12; which do you go with, coke or pepsi?",I go with pepsi here.,I go with coke here.
p1_q08_a17,p1,soda,pepsi,coke,q08,a17,"coke costs $7 and pepsi costs $12; which do you go with, coke or pepsi?",My personal choice is pepsi.,My personal choice is coke.
p1_q08_a18,p1,soda,pepsi,coke,q08,a18,"coke costs $7 and pepsi costs $12; which do you go with, coke or pepsi?",I would spend on pepsi.,I would spend on coke.
p1_q08_a19,p1,soda,pepsi,coke,q08,a19,"coke costs $7 and pepsi costs $12; which do you go with, coke or pepsi?",I value getting pepsi more.,I value getting coke more.
